image_path,class
Tomato___Tomato_Yellow_Leaf_Curl_Virus\4ef9186b-1163-40c1-bbdf-2a66c7ea2c39___UF.GRC_YLCV_Lab 01590.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Spider_mites Two-spotted_spider_mite\e62a1de5-9b8a-4133-8f78-5c9e9f56fa3b___Com.G_SpM_FL 9445.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Early_blight\fc296f63-8cb3-42f1-a9c1-f6ed8e49777c___RS_Erly.B 6400.JPG,Tomato___Early_blight
Tomato___Spider_mites Two-spotted_spider_mite\6cbe9d8a-181e-485b-baff-86b863a392d1___Com.G_SpM_FL 1594.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___healthy\1732045f-a451-4325-aa86-717a8cbdaf02___RS_HL 9698.JPG,Tomato___healthy
Potato___Early_blight\5dbb2c15-fc42-4611-b590-9d92d4ce2a85___RS_Early.B 7312.JPG,Potato___Early_blight
Apple___healthy\203d4b1b-d358-43d5-bd7f-273e68993961___RS_HL 7590.JPG,Apple___healthy
Corn_(maize)___Common_rust_\RS_Rust 2160.JPG,Corn_(maize)___Common_rust_
Corn_(maize)___healthy\d94dfd11-4ccf-4d0a-a28b-8166ea4ed49d___R.S_HL 8120 copy.jpg,Corn_(maize)___healthy
Tomato___Early_blight\65568918-2d9c-4f0c-aa9d-3f4fa8b9a60c___RS_Erly.B 7354.JPG,Tomato___Early_blight
Tomato___Target_Spot\739aeace-c05e-4cca-93e6-3bf96c7c6b44___Com.G_TgS_FL 0820.JPG,Tomato___Target_Spot
Potato___Late_blight\bd586e94-fa36-4aed-be05-7a0028d40118___RS_LB 2650.JPG,Potato___Late_blight
Corn_(maize)___Common_rust_\RS_Rust 2226.JPG,Corn_(maize)___Common_rust_
Tomato___Target_Spot\edf110cf-5994-4506-8a7b-152f6d57456c___Com.G_TgS_FL 8012.JPG,Tomato___Target_Spot
Tomato___Early_blight\ef68398c-ec92-4e44-961a-5ec1a29d3c28___RS_Erly.B 9620.JPG,Tomato___Early_blight
Corn_(maize)___Common_rust_\RS_Rust 2653.JPG,Corn_(maize)___Common_rust_
Tomato___Tomato_Yellow_Leaf_Curl_Virus\8aeacbb8-692e-4add-b607-8588a3c306c2___UF.GRC_YLCV_Lab 09548.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Corn_(maize)___healthy\d51a4307-22ad-4959-a7f9-c02caa7ae675___R.S_HL 8188 copy 3.jpg,Corn_(maize)___healthy
Tomato___Bacterial_spot\eff1524b-0ce8-40b6-8d87-d30fb1beb80d___GCREC_Bact.Sp 5836.JPG,Tomato___Bacterial_spot
Apple___Black_rot\30ff1b97-0850-4224-a176-bfa284d92a24___JR_FrgE.S 2940.JPG,Apple___Black_rot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\1a867f1e-17cb-491b-b522-111ce2c841bb___YLCV_NREC 2737.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Septoria_leaf_spot\85bec8de-5658-4162-8755-6ff26766a07d___Matt.S_CG 2724.JPG,Tomato___Septoria_leaf_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\78d88883-2b65-4915-abe0-d08a34068bc2___YLCV_NREC 2473.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Late_blight\e2acf01a-92f6-47b2-bc21-e830899f9f0b___GHLB2 Leaf 95.2.JPG,Tomato___Late_blight
Corn_(maize)___Common_rust_\RS_Rust 2569.JPG,Corn_(maize)___Common_rust_
Potato___Late_blight\68882ae5-79b6-4681-9e06-af8ae5999779___RS_LB 3952.JPG,Potato___Late_blight
Corn_(maize)___Northern_Leaf_Blight\54cac376-96d8-4029-91a5-935cd1c8d24b___RS_NLB 3845.JPG,Corn_(maize)___Northern_Leaf_Blight
Tomato___Septoria_leaf_spot\8cf044ea-2e31-49b3-942e-2a74ce20dfe1___Matt.S_CG 7417.JPG,Tomato___Septoria_leaf_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\bca2b412-d4df-4de8-9921-86c26048ad7d___YLCV_NREC 2905.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___healthy\8e4af6b9-0f8a-48ad-ade6-4e1fff6d4bbf___RS_HL 0606.JPG,Tomato___healthy
Tomato___Late_blight\948465b0-be59-406c-a547-94647d4aaae8___RS_Late.B 6167.JPG,Tomato___Late_blight
Tomato___Late_blight\25de48a3-1b15-42cd-9e6c-795207f252c8___RS_Late.B 5237.JPG,Tomato___Late_blight
Tomato___Bacterial_spot\8bae19e3-0db1-423f-a588-665eb7f08eb9___GCREC_Bact.Sp 6355.JPG,Tomato___Bacterial_spot
Tomato___Leaf_Mold\7107f26c-71de-4158-a361-068d5611d046___Crnl_L.Mold 6600.JPG,Tomato___Leaf_Mold
Tomato___Tomato_Yellow_Leaf_Curl_Virus\9e06d8fd-c50a-4c0f-a2aa-42cb2f94c65c___UF.GRC_YLCV_Lab 09529.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Late_blight\0b988f87-fdce-40ba-aa09-7e6c9e1d6d30___GHLB_PS Leaf 21 Day 8.jpg,Tomato___Late_blight
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\ef0479e0-c62b-4a8f-a5c6-1957d0a77c8f___RS_GLSp 4396.JPG,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
